ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-7,-4,2,-1,-10,1.3635,1.3679,1.3503,1.3642,0.0007315824,-0.006036069,0.0008069841,-0.000804152,0.0005924609,-0.000220038,0.0007315824,-0.006036069,-0.00445418,Hold,2014W22
-7,-3,0,-2,-12,1.3626,1.3669,1.3585,1.3631,-0.004805242,-0.002203452,-0.000220038,0.0007315824,-0.006036069,-0.00445418,-0.004805242,-0.002203452,-0.004723837,Sell,2014W21
-7,-3,0,-2,-12,1.3702,1.3735,1.3615,1.3634,-0.003048559,-0.002564103,-0.00445418,-0.004805242,-0.002203452,-0.004723837,-0.003048559,-0.002564103,-0.007930786,Sell,2014W20
-7,-3,0,-2,-12,1.3752,1.3777,1.365,1.3695,-0.015576992,-0.006911604,-0.004723837,-0.003048559,-0.002564103,-0.007930786,-0.015576992,-0.006911604,0.0026747632,Sell,2014W19
-7,-3,0,-2,-12,1.3873,1.3995,1.3745,1.376,0.0076319389,-0.00225029,-0.007930786,-0.015576992,-0.006911604,0.0026747632,0.0076319389,-0.00225029,0.0013029316,Hold,2014W18
-7,-3,0,-2,-12,1.3834,1.3889,1.3776,1.387,0.0023816397,-0.000652884,0.0026747632,0.0076319389,-0.00225029,0.0013029316,0.0023816397,-0.000652884,-0.005041412,Hold,2014W17
-6,-2,2,-1,-7,1.381,1.3856,1.3785,1.3833,-0.00079325,-0.000362582,0.0013029316,0.0023816397,-0.000652884,-0.005041412,-0.00079325,-0.000362582,0.0132817631,Hold,2014W16
-6,-2,2,-1,-7,1.3838,1.3867,1.379,1.3815,-0.002876249,0.0073046019,-0.005041412,-0.00079325,-0.000362582,0.0132817631,-0.002876249,0.0073046019,-0.00363557,Sell,2014W15
-6,-2,2,-1,-7,1.3697,1.3907,1.369,1.3885,0.0062952243,0.0013165594,0.0132817631,-0.002876249,0.0073046019,-0.00363557,0.0062952243,0.0013165594,-0.002972307,Buy,2014W14
-6,-2,2,-1,-7,1.3755,1.382,1.3672,1.3703,-0.004035745,-0.00240788,-0.00363557,0.0062952243,0.0013165594,-0.002972307,-0.004035745,-0.00240788,-0.008695652,Sell,2014W13
-6,-3,0,-1,-10,1.3792,1.3876,1.3705,1.3753,-0.00523335,-0.003345211,-0.002972307,-0.004035745,-0.00240788,-0.008695652,-0.00523335,-0.003345211,0.0026660902,Sell,2014W12
-6,-3,0,-1,-10,1.3912,1.3949,1.3751,1.3794,-0.001288752,-0.005927854,-0.008695652,-0.00523335,-0.003345211,0.0026660902,-0.001288752,-0.005927854,0.0055064483,Sell,2014W11
-6,-3,0,-1,-10,1.3875,1.3967,1.3833,1.3915,0.0035927283,0.0091187628,0.0026660902,-0.001288752,-0.005927854,0.0055064483,0.0035927283,0.0091187628,0.0045123726,Buy,2014W10
-6,-3,0,-1,-10,1.3787,1.3917,1.3708,1.3878,0.0067274306,0.0049116634,0.0055064483,0.0035927283,0.0091187628,0.0045123726,0.0067274306,0.0049116634,0.0034324107,Buy,2014W09
-3,-4,0,-1,-8,1.3735,1.3824,1.3641,1.3802,0.0034843206,-0.003360853,0.0045123726,0.0067274306,0.0049116634,0.0034324107,0.0034843206,-0.003360853,0.0042537587,Hold,2014W08
-3,-4,0,-1,-8,1.3688,1.3776,1.3687,1.374,0.0042280216,0.0091425201,0.0034324107,0.0034843206,-0.003360853,0.0042537587,0.0042280216,0.0091425201,0.0109735301,Buy,2014W07
-3,-4,0,-1,-8,1.3634,1.3718,1.3563,1.3693,0.0055710306,0.0063812421,0.0042537587,0.0042280216,0.0091425201,0.0109735301,0.0055710306,0.0063812421,-0.01396403,Buy,2014W06
