ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-6,-2,-1,-4,-13,1.1288,1.1375,1.1276,1.1343,0.0025559669,0.0038280068,0.004249668,0.0041318681,0.0042568287,-0.003089144,0.0025559669,0.0038280068,-0.010998603,Buy,2019W07
-6,-2,-1,-4,-13,1.1329,1.1346,1.1233,1.1295,-0.010552019,-0.007685512,-0.003089144,0.0025559669,0.0038280068,-0.010998603,-0.010552019,-0.007685512,0.0035917652,Sell,2019W06
-6,-2,-1,-4,-13,1.1457,1.1467,1.132,1.133,-0.004341408,-0.006145742,-0.010998603,-0.010552019,-0.007685512,0.0035917652,-0.004341408,-0.006145742,0.0045762563,Sell,2019W05
-6,-2,-1,-4,-13,1.1406,1.1517,1.139,1.1456,0.0084055687,0.0090361446,0.0035917652,-0.004341408,-0.006145742,0.0045762563,0.0084055687,0.0090361446,-0.009242305,Buy,2019W04
-2,-4,-3,-3,-12,1.1372,1.1421,1.1288,1.1415,-0.006264683,-0.005637773,0.0045762563,0.0084055687,0.0090361446,-0.009242305,-0.006264683,-0.005637773,0.0064940763,Hold,2019W03
-2,-4,-3,-3,-12,1.1471,1.1493,1.1352,1.1363,-0.006826823,-0.003511236,-0.009242305,-0.006264683,-0.005637773,0.0064940763,-0.006826823,-0.003511236,-0.003759398,Sell,2019W02
-2,-4,-3,-3,-12,1.1392,1.1572,1.1392,1.1469,0.0063483781,0.0073392873,0.0064940763,-0.006826823,-0.003511236,-0.003759398,0.0063483781,0.0073392873,0.0060691354,Buy,2019W01
-4,-6,-1,-4,-15,1.1372,1.1478,1.1342,1.1438,-0.000783494,0.0038056465,0.0060691354,0.001829587,-0.00290954,0.0053055089,-0.000783494,0.0038056465,-0.006064335,Buy,2018W51
-4,-6,-1,-4,-15,1.1309,1.1487,1.1299,1.1369,0.0036697248,0.0027511537,0.0053055089,-0.000783494,0.0038056465,-0.006064335,0.0036697248,0.0027511537,0.0053901211,Buy,2018W50
-4,-6,-1,-4,-15,1.1402,1.1445,1.1268,1.1309,0.001750547,-0.003801609,-0.006064335,0.0036697248,0.0027511537,0.0053901211,0.001750547,-0.003801609,-0.002116216,Hold,2018W49
-4,-6,-1,-4,-15,1.1315,1.1425,1.1311,1.1378,0.0019293168,0.0039943192,0.0053901211,0.001750547,-0.003801609,-0.002116216,0.0019293168,0.0039943192,-0.006917688,Buy,2018W48
-3,-6,-1,-4,-14,1.1343,1.1403,1.1266,1.1317,-0.006187903,-0.005209713,-0.002116216,0.0019293168,0.0039943192,-0.006917688,-0.006187903,-0.005209713,0.0074100212,Sell,2018W47
-3,-6,-1,-4,-14,1.1402,1.1474,1.1325,1.1341,0.0044646765,0.0098082925,-0.006917688,-0.006187903,-0.005209713,0.0074100212,0.0044646765,0.0098082925,-0.004478792,Hold,2018W46
-3,-6,-1,-4,-14,1.1332,1.1423,1.1215,1.142,-0.006868371,-0.008837826,0.0074100212,0.0044646765,0.0098082925,-0.004478792,-0.006868371,-0.008837826,-0.00140314,Hold,2018W45
-3,-6,-1,-4,-14,1.1392,1.1502,1.1315,1.1336,0.0038401117,0.0012388284,-0.004478792,-0.006868371,-0.008837826,-0.00140314,0.0038401117,0.0012388284,-0.009726444,Hold,2018W44
-3,-6,-1,-4,-14,1.1408,1.1458,1.1301,1.1387,-0.008137119,-0.002911593,-0.00140314,0.0038401117,0.0012388284,-0.009726444,-0.008137119,-0.002911593,-0.004151172,Sell,2018W43
-4,-4,-2,-4,-14,1.1507,1.1552,1.1334,1.1403,-0.006108578,-0.008659145,-0.009726444,-0.008137119,-0.002911593,-0.004151172,-0.006108578,-0.008659145,0.0033842416,Sell,2018W42
-4,-4,-2,-4,-14,1.1559,1.1623,1.1433,1.1515,0.0010335027,0.0002624672,-0.004151172,-0.006108578,-0.008659145,0.0033842416,0.0010335027,0.0002624672,-0.007321905,Hold,2018W41
-4,-4,-2,-4,-14,1.1519,1.1611,1.143,1.1563,-0.001547855,-0.002878828,0.0033842416,0.0010335027,0.0002624672,-0.007321905,-0.001547855,-0.002878828,-0.012,Hold,2018W40
-4,-4,-2,-4,-14,1.1608,1.1629,1.1463,1.1524,-0.015825999,-0.008991095,-0.007321905,-0.001547855,-0.002878828,-0.012,-0.015825999,-0.008991095,0.0103181427,Sell,2018W39
-4,-4,-1,-4,-13,1.175,1.1816,1.1567,1.1609,0.0010166045,-0.004304037,-0.012,-0.015825999,-0.008991095,0.0103181427,0.0010166045,-0.004304037,0.0066649355,Hold,2018W38
-4,-4,-1,-4,-13,1.1624,1.1804,1.1617,1.175,0.0068236097,0.0078951935,0.0103181427,0.0010166045,-0.004304037,0.0066649355,0.0068236097,0.0078951935,-0.004137574,Buy,2018W37
-4,-4,-1,-4,-13,1.1561,1.1724,1.1526,1.163,0.0054026241,-0.000260213,0.0066649355,0.0068236097,0.0078951935,-0.004137574,0.0054026241,-0.000260213,-0.001892799,Hold,2018W36
-4,-4,-1,-4,-13,1.1597,1.1661,1.1529,1.1553,-0.006305922,-0.004833837,-0.004137574,0.0054026241,-0.000260213,-0.001892799,-0.006305922,-0.004833837,0.0160853221,Sell,2018W35
-2,0,3,-3,-2,1.1632,1.1735,1.1585,1.1601,0.0080749077,0.0167632087,-0.001892799,-0.006305922,-0.004833837,0.0160853221,0.0080749077,0.0167632087,0.0024537727,Hold,2018W34
-2,0,3,-3,-2,1.1442,1.1641,1.1394,1.1623,0.0169476719,0.0084078237,0.0160853221,0.0080749077,0.0167632087,0.0024537727,0.0169476719,0.0084078237,-0.013486643,Buy,2018W33
-2,0,3,-3,-2,1.139,1.1447,1.1299,1.1439,-0.015650529,-0.00746662,0.0024537727,0.0169476719,0.0084078237,-0.013486643,-0.015650529,-0.00746662,-0.007805799,Hold,2018W32
-2,0,3,-3,-2,1.1572,1.1629,1.1384,1.1411,-0.009876543,-0.015139718,-0.013486643,-0.015650529,-0.00746662,-0.007805799,-0.009876543,-0.015139718,-0.005290102,Sell,2018W31
-2,0,3,-3,-2,1.1659,1.1745,1.1559,1.1567,-0.000510595,-0.005335169,-0.007805799,-0.009876543,-0.015139718,-0.005290102,-0.000510595,-0.005335169,0.0029952931,Sell,2018W30
-3,-2,-1,-3,-9,1.1729,1.1751,1.1621,1.1658,0.0004256768,0.004060826,-0.005290102,-0.000510595,-0.005335169,0.0029952931,0.0004256768,0.004060826,-0.005277943,Hold,2018W29
-3,-2,-1,-3,-9,1.1677,1.1746,1.1574,1.172,-0.003731976,-0.003100775,0.0029952931,0.0004256768,0.004060826,-0.005277943,-0.003731976,-0.003100775,0.0053059478,Hold,2018W28
-3,-2,-1,-3,-9,1.1746,1.179,1.161,1.1685,0.0017843487,0.0016392028,-0.005277943,-0.003731976,-0.003100775,0.0053059478,0.0017843487,0.0016392028,0.0024019902,Hold,2018W27
